Kód	Název	Id	Id nadřízené
09100000-0  	Paliva 	18098	18097
09110000-3  	Tuhá paliva	18099	18098
09111000-0  	Uhlí a paliva vyrobená z uhlí	18100	18099
09111100-1  	Uhlí 	18101	18100
09111200-2  	Tuhá paliva vyrobená z uhlí	18102	18100
09111210-5  	Černé uhlí a černouhelné brikety 	18103	18102
09111220-8  	Brikety	18104	18102
09111300-3  	Fosilní paliva 	18105	18100
09111400-4  	Paliva na bázi dřeva 	18106	18100
09112000-7  	Lignit a rašelina	18107	18099
09112100-8  	Hnědé uhlí a lignit, hnědouhelné brikety 	18108	18107
09112200-9  	Rašelina 	18109	18107
09113000-4  	Koks 	18110	18099
09120000-6  	Plynná paliva	18111	18098
09121000-3  	Svítiplyn, plyn pro rozvodnou síť nebo podobné plyny 	18112	18111
09121100-4  	Svítiplyn nebo podobné plyny 	18113	18112
09121200-5  	Plyn pro rozvodnou síť 	18114	18112
09122000-0  	Propan a butan 	18115	18111
09122100-1  	Propan 	18116	18115
09122110-4  	Zkapalněný propan	18117	18116
09122200-2  	Butan	18118	18115
09122210-5  	Zkapalněný butan 	18119	18118
09123000-7  	Zemní plyn 	18120	18111
09130000-9  	Ropa a ropné destiláty 	18121	18098
09131000-6  	Letecký petrolej 	18122	18121
09131100-7  	Paliva petrolejového typu pro proudové motory	18123	18122
09132000-3  	Automobilový benzin	18124	18121
09132100-4  	Bezolovnatý automobilový benzin	18125	18124
09132200-5  	Olovnatý automobilový benzin 	18126	18124
09132300-6  	Automobilový benzin s ethanolem	18127	18124
09133000-0  	Zkapalněný ropný plyn (LPG)	18128	18121
09134000-7  	Plynové oleje	18129	18121
09134100-8  	Naftový olej 	18130	18129
09134200-9  	Nafta	18131	18129
09134210-2  	Motorová nafta (0,2) 	18132	18131
09134220-5  	Nafta (EN 590) 	18133	18131
09134230-8  	Bionafta 	18134	18131
09134231-5  	Bionafta (B20) 	18135	18134
09134232-2  	Bionafta (B100)	18136	18134
09135000-4  	Palivové oleje 	18137	18121
09135100-5  	Topné oleje	18138	18137
09135110-8  	Spalitelné oleje s nízkým obsahem síry 	18139	18138
09200000-1  	Ropné a uhelné produkty a produkty z ropných frakcí	18140	18097
09210000-4  	Mazací přípravky 	18141	18140
09211000-1  	Mazací oleje a maziva	18142	18141
09211100-2  	Motorové oleje 	18143	18142
09211200-3  	Kompresorové oleje 	18144	18142
09211300-4  	Turbinové oleje	18145	18142
09211400-5  	Převodové oleje	18146	18142
09211500-6  	Převodové oleje (pro reduktory)	18147	18142
09211600-7  	Oleje pro použití v hydraulických systémech a pro jiné účely 	18148	18142
09211610-0  	Kapaliny pro hydraulické účely 	18149	18148
09211620-3  	Oleje používané uvolňování odlitků z forem 	18193	18148
09211630-6  	Antikorozní oleje	18194	18148
09211640-9  	Elektroizolační oleje	18195	18148
09211650-2  	Brzdové kapaliny 	18196	18148
09211700-8  	Bílé oleje a medicinální oleje 	18197	18142
09211710-1  	Bílé oleje 	18198	18197
09211720-4  	Medicinální oleje	18199	18197
09211800-9  	Ropné frakce a přípravky 	18200	18142
09211810-2  	Lehké frakce 	18201	18200
09211820-5  	Ropné frakce 	18202	18200
09211900-0  	Trakční mazací oleje 	18203	18142
09220000-7  	Ropná vazelína, vosky a technické benziny	18204	18140
09221000-4  	Ropná vazelína a vosky 	18205	18204
09221100-5  	Ropná vazelína 	18206	18205
09221200-6  	Parafíny 	18207	18205
09221300-7  	Ropné vosky	18208	18205
09221400-8  	Ropné zbytky 	18209	18205
09222000-1  	Technické benziny	18210	18204
09222100-2  	Lakový benzín	18211	18210
09230000-0  	Ropa (surová)	18212	18140
09240000-3  	Produkty odvozené z ropy a z uhlí	18213	18140
09241000-0  	Živičná nebo ropná břidlice	18214	18213
09242000-7  	Produkty odvozené z uhlí 	18215	18213
09242100-8  	Petrolej 	18216	18215
09300000-2  	Elektrická energie, vytápění, solární a jaderná energie	18217	18097
09310000-5  	Elektrická energie 	18218	18217
09320000-8  	Pára, horká voda a související produkty	18219	18217
09321000-5  	Horká voda 	18220	18219
09322000-2  	Pára 	18221	18219
09323000-9  	Místní vytápění	18222	18219
09324000-6  	Dálkové vytápění 	18223	18219
09330000-1  	Solární energie	18224	18217
09331000-8  	Solární panely 	18225	18224
09331100-9  	Solární kolektory pro výrobu tepla 	18226	18225
09331200-0  	Solární fotovoltaické moduly 	18227	18225
09332000-5  	Instalace a montáž solárních zařízení	18228	18224
09340000-4  	Jaderná paliva 	18229	18217
09341000-1  	Uran 	18230	18229
09342000-8  	Plutonium	18231	18229
09343000-5  	Radioaktivní materiály 	18232	18229
09344000-2  	Radioaktivní isotopy 	18233	18229
14000000-1  	Produkty těžebního průmyslu, kovové suroviny a související produkty	18234	0
14200000-3  	Písky a jíly 	18235	18234
14210000-6  	Kamenivo, písky a štěrkopísky, drcené kamenivo a jiná plniva do betonu 	18236	18235
14211000-3  	Písky	18237	18236
14211100-4  	Přírodní písek 	18238	18237
14212000-0  	Zrna, drť, prach z kamenů, říční štěrk, těžené nebo drcené kamenivo, kamenné směsi, štěrkopískové směsi a jiná plniva do betonu	18239	18236
14212100-1  	Říční štěrk a kamenivo 	18240	18239
14212110-4  	Říční štěrk	18241	18240
14212120-7  	Kamenivo 	18242	18240
14212200-2  	Plniva do betonu 	18243	18239
14212210-5  	Štěrkopísky	18244	18243
14212300-3  	Těžené a drcené kamenivo 	18245	18239
14212310-6  	Štěrkopísek	18246	18245
14212320-9  	Drcená žula	18247	18245
14212330-2  	Drcený čedič 	18248	18245
14212400-4  	Zemina 	18249	18239
14212410-7  	Ornice 	18250	18249
14212420-0  	Podzákladí 	18251	18249
14212430-3  	Drť z kamenů 	18252	18249
14213000-7  	Makadamový štěrk, asfalt a dehtové písky 	18253	18236
14213100-8  	Makadamový štěrk 	18254	18253
14213200-9  	Asfalt 	18255	18253
14213300-0  	Živičné písky	18256	18253
14220000-9  	Jíly a kaolin	18257	18235
14221000-6  	Jíly 	18258	18257
14222000-3  	Kaolin 	18259	18257
14300000-4  	Suroviny pro chemický průmysl a výrobu hnojiv	18260	18234
14310000-7  	Suroviny pro výrobu hnojiv 	18261	18260
14311000-4  	Přírodní vápník, fosfát hlinitovápenatý a surové přírodní draselné soli	18262	18261
14311100-5  	Přírodní vápník	18263	18262
14311200-6  	Fosfáty hlinitovápenaté	18264	18262
14311300-7  	Surové přírodní draselné soli	18265	18262
14312000-1  	Pyrity 	18266	18261
14312100-2  	Nepražené pyrity 	18267	18266
14320000-0  	Suroviny pro chemický průmysl	18268	18260
14400000-5  	Sůl a čistý chlorid sodný	18269	18234
14410000-8  	Sůl kamenná	18270	18269
14420000-1  	Mořská sůl 	18271	18269
14430000-4  	Odpařená sůl a čistý chlorid sodný 	18272	18269
14450000-0  	Solný roztok 	18273	18269
14500000-6  	Produkty těžby ostatních nerostných surovin j.n. 	18274	18234
14520000-2  	Drahokamy a polodrahokamy, pemza, smirek, přírodní brusiva, ostatní nerostné suroviny a drahé kovy 	18275	18274
14521000-9  	Drahokamy a polodrahokamy	18276	18275
14521100-0  	Drahokamy	18277	18276
14521140-2  	Drť nebo prach z drahých kamenů	18278	18277
14521200-1  	Polodrahokamy	18279	18276
14521210-4  	Drť nebo prach z polodrahokamů 	18280	18279
14522000-6  	Průmyslové diamanty, pemza, smirek a jiná přírodní brusiva 	16917	18275
14522100-7  	Pemza	9092	16917
14522200-8  	Průmyslové diamanty	16642	16917
14522300-9  	Smirek 	16643	16917
14522400-0  	Přírodní brusiva 	16644	16917
14523000-3  	Příbuzné nerosty, drahé kovy a přidružené produkty 	16645	18275
14523100-4  	Nerosty	16646	16645
14523200-5  	Zlato	16647	16645
14523300-6  	Stříbro	16648	16645
14523400-7  	Platina	16649	16645
14600000-7  	Rudy kovů a slitiny	16650	18234
14610000-0  	Rudy kovů	16651	16650
14611000-7  	Železné rudy 	16652	16651
14612000-4  	Neželezné rudy 	16653	16651
14612100-5  	Měděné rudy	16654	16653
14612200-6  	Niklové rudy 	16655	16653
14612300-7  	Hliníkové rudy 	16656	16653
14612400-8  	Rudy drahých kovů	16657	16653
14612500-9  	Olovnaté rudy	16658	16653
14612600-0  	Zinkové rudy 	16659	16653
14612700-1  	Cínové rudy	16660	16653
14613000-1  	Uranové a thoriové rudy	16661	16651
14613100-2  	Uranové rudy 	16662	16661
14613200-3  	Thoriové rudy	16663	16661
14614000-8  	Různé druhy rud	16664	16651
14620000-3  	Slitiny	16665	16650
14621000-0  	Feroslitiny	16666	16665
14621100-1  	Feroslitiny nespadající do působnosti ESUO 	16667	16666
14621110-4  	Feromangan 	16668	16667
14621120-7  	Ferochrom	16669	16667
14621130-0  	Feronikl 	16670	16667
14622000-7  	Ocel 	16671	16665
14630000-6  	Struska, zpěněná struska, odpad ze železa nebo oceli 	16672	16650
14700000-8  	Obecné kovy	16673	18234
14710000-1  	Železo, olovo, zinek, cín a měď	16674	16673
14711000-8  	Železo 	16675	16674
14711100-9  	Surové železo	16676	16675
14712000-5  	Olovo	16677	16674
14713000-2  	Zinek	16678	16674
14714000-9  	Cín	16679	16674
14715000-6  	Měď	16680	16674
14720000-4  	Hliník, nikl, skandium, titan a vanad	16681	16673
14721000-1  	Hliník 	16682	16681
14721100-2  	Oxid hlinitý 	16683	16682
14722000-8  	Nikl 	16684	16681
14723000-5  	Skandium 	16685	16681
14724000-2  	Titan	16686	16681
14725000-9  	Vanad	16687	16681
14730000-7  	Chrom, mangan, kobalt, yttrium a zirkonium 	16688	16673
14731000-4  	Chrom	16689	16688
14732000-1  	Mangan 	16690	16688
14733000-8  	Kobalt 	16691	16688
14734000-5  	Yttrium	16692	16688
14735000-2  	Zirkonium	16693	16688
14740000-0  	Molybden, technecium, ruthenium a rhodium	16694	16673
14741000-7  	Molybden 	16695	16694
14742000-4  	Technecium 	16696	16694
14743000-1  	Ruthenium	16697	16694
14744000-8  	Rhodium	16698	16694
14750000-3  	Kadmium, lutecium, hafnium, tantal a wolfram 	16699	16673
14751000-0  	Kadmium	16700	16699
14752000-7  	Lutecium 	16701	16699
14753000-4  	Hafnium	16702	16699
14754000-1  	Tantal 	16703	16699
14755000-8  	Wolfram	16704	16699
14760000-6  	Iridium, gallium, indium, thallium a baryum	16705	16673
14761000-3  	Iridium	16706	16705
14762000-0  	Gallium	16707	16705
14763000-7  	Indium 	16708	16705
14764000-4  	Thallium 	16709	16705
14765000-1  	Baryum 	16710	16705
14770000-9  	Cesium, stroncium, rubidium a vápník 	16711	16673
14771000-6  	Cesium 	16712	16711
14772000-3  	Stroncium	16713	16711
14773000-0  	Rubidium 	16714	16711
14774000-7  	Vápník 	16715	16711
14780000-2  	Draslík, hořčík, sodík a lithium 	16716	16673
14781000-9  	Draslík	16717	16716
14782000-6  	Hořčík 	16718	16716
14783000-3  	Sodík	16719	16716
14784000-0  	Lithium	16720	16716
14790000-5  	Niob, osmium, rhenium a palladium	16721	16673
14791000-2  	Niob 	16722	16721
14792000-9  	Osmium 	16723	16721
14793000-6  	Rhenium	16724	16721
14794000-3  	Palladium	16725	16721
14800000-9  	Různé nekovové minerální výrobky 	16726	18234
14810000-2  	Brusné materiály 	16727	16726
14811000-9  	Mlýnské kameny, brusné kameny a brusné kotouče 	16728	16727
14811100-0  	Mlýnské kameny 	16729	16728
14811200-1  	Brusné kameny	16730	16728
14811300-2  	Brusné kotouče 	16731	16728
14812000-6  	Brusiva ve formě prášku nebo zrn 	16732	16727
14813000-3  	Umělý korund 	16733	16727
14814000-0  	Umělý grafit 	16734	16727
14820000-5  	Sklo 	16735	16726
14830000-8  	Skleněná vlákna	16736	16726
14900000-0  	Recyklované druhotné suroviny	16737	18234
14910000-3  	Recyklované kovové druhotné suroviny 	16738	16737
14920000-6  	Recyklované nekovové druhotné suroviny 	17430	16737
14930000-9  	Popílky a zbytky obsahující kovy 	17431	16737
15000000-8  	Potraviny, nápoje, tabák a související produkty	17432	0
15100000-9  	Živočišné produkty, maso a masné výrobky 	17433	17432
15110000-2  	Maso 	17434	17433
15111000-9  	Maso skotu 	17435	17434
15111100-0  	Hovězí maso	17436	17435
15111200-1  	Telecí maso	17437	17435
15112000-6  	Drůbež 	17438	17434
15112100-7  	Čerstvá drůbež 	17439	17438
15112110-0  	Husy 	17440	17439
15112120-3  	Krůty	17441	17439
15112130-6  	Kuřata 	17442	17439
15112140-9  	Kachny 	17443	17439
15112300-9  	Drůbeží játra	17444	17438
15112310-2  	Foie gras	17445	17444
15113000-3  	Vepřové maso 	17446	17434
15114000-0  	Droby	17447	17434
15115000-7  	Jehněčí a skopové maso 	17448	17434
15115100-8  	Jehněčí maso 	17449	17448
15115200-9  	Skopové maso 	17450	17448
15117000-1  	Kozí maso	17451	17434
15118000-8  	Koňské a oslí maso, maso mul a mezků 	17452	17434
15118100-9  	Koňské maso	17453	17452
15118900-7  	Maso oslů, mul a mezků 	17454	17452
15119000-5  	Různá masa 	17455	17434
15119100-6  	Králičí maso 	17456	17455
15119200-7  	Zaječí maso	17457	17455
15119300-8  	Zvěřina	17458	17455
15119400-9  	Žabí stehýnka	17459	17455
15119500-0  	Holubi 	17460	17455
15119600-1  	Rybí maso	17461	17455
15130000-8  	Masné produkty 	17462	17433
15131000-5  	Masné konzervy a přípravky 	17463	17462
15131100-6  	Výrobky z prejtu 	17464	17463
15131110-9  	Prejt	17465	17464
15131120-2  	Uzeniny	17466	17464
15131130-5  	Uzenky 	17467	17464
15131134-3  	Jelita a tlačenky	17468	17467
15131135-0  	Drůbeží uzenky 	17469	17467
15131200-7  	Sušené, solené, uzené nebo kořeněné maso 	17470	17463
15131210-0  	Uzená šunka	17471	17470
15131220-3  	Slanina	17472	17470
15131230-6  	Salám	17473	17470
15131300-8  	Přípravky z jater	17474	17463
15131310-1  	Paštika	17475	17474
15131320-4  	Přípravky z husích nebo kachních jater 	17476	17474
15131400-9  	Výrobky z vepřového masa 	17477	17463
15131410-2  	Šunka	17478	17477
15131420-5  	Masové kuličky 	17479	17477
15131490-6  	Připravená jídla z vepřového masa	17480	17477
15131500-0  	Výrobky z drůbežího masa 	17481	17463
15131600-1  	Výrobky z hovězího a telecího masa 	17482	17463
15131610-4  	Kuličky z hovězího masa	17483	17482
15131620-7  	Mleté hovězí maso	17484	17482
15131640-3  	Hovězí burgery 	17485	17482
15131700-2  	Přípravky z masa 	17486	17463
15200000-0  	Přípravky a konzervy z ryb 	17487	17432
15210000-3  	Rybí filé, játra a jikry 	17488	17487
15211000-0  	Rybí filé	17489	17488
15211100-1  	Rybí filé, čerstvé 	17490	17489
15212000-7  	Jikry a mlíčí	17491	17488
15213000-4  	Rybí játra 	17492	17488
15220000-6  	Ryby, rybí filé nebo jiné rybí maso, zmrazené	17493	17487
15221000-3  	Ryby, zmrazené 	17494	17493
15229000-9  	Zmrazené výrobky z ryb 	17495	17493
15230000-9  	Sušené nebo solené ryby; ryby ve slaném nálevu; uzené ryby	17496	17487
15231000-6  	Sušené ryby	17497	17496
15232000-3  	Solené ryby	17498	17496
15233000-0  	Ryby ve slaném nálevu	17499	17496
15234000-7  	Uzené ryby 	17500	17496
15235000-4  	Rybí konzervy	17501	17496
15240000-2  	Ryby v konzervách nebo jiných obalech a jiné přípravky a konzervy z ryb	17502	17487
15241000-9  	Ryby obalené, v konzervách nebo jiných obalech 	17503	17502
15241100-0  	Losos v konzervě 	17504	17503
15241200-1  	Přípravky a konzervy ze sleďů	17505	17503
15241300-2  	Sardinky 	17506	17503
15241400-3  	Tuňák v konzervě 	17507	17503
15241500-4  	Makrely	17508	17503
15241600-5  	Sardele	17509	17503
15241700-6  	Rybí prsty 	17510	17503
15241800-7  	Přípravky z ryb, obalené 	17511	17503
15242000-6  	Připravená rybí jídla	17512	17502
15243000-3  	Přípravky z ryb	17513	17502
15244000-0  	Kaviár a jikry 	17514	17502
15244100-1  	Kaviár 	17515	17514
15244200-2  	Jikry	17516	17514
15250000-5  	Plody moře 	17517	17487
15251000-2  	Korýši, zmrazení 	17518	17517
15252000-9  	Přípravky a konzervy z korýšů	17519	17517
15253000-6  	Výrobky z měkkýšů	17520	17517
15300000-1  	Ovoce, zelenina a podobné produkty 	17521	17432
15310000-4  	Brambory a výrobky z brambor 	17522	17521
15311000-1  	Brambory zmrazené	18281	17522
15311100-2  	Hranolky 	18282	18281
15311200-3  	Brambory nakrájené na kostičky, na plátky a ostatní zmrazené brambory	18283	18281
15312000-8  	Výrobky z brambor	18284	17522
15312100-9  	Instantní bramborové kaše	18285	18284
15312200-0  	Předsmažené hranolky 	18286	18284
15312300-1  	Bramborové lupínky 	18287	18284
15312310-4  	Ochucené bramborové lupínky	18288	18287
15312400-2  	Slané pečivo z brambor 	18289	18284
15312500-3  	Bramborové krokety 	18290	18284
15313000-5  	Upravené brambory	18291	17522
15320000-7  	Ovocné a zeleninové šťávy	18292	17521
15321000-4  	Ovocné šťávy 	18293	18292
15321100-5  	Pomerančová šťáva	18294	18293
15321200-6  	Grapefruitová šťáva	18295	18293
15321300-7  	Citrónová šťáva	18296	18293
15321400-8  	Ananasová šťáva	18297	18293
15321500-9  	Hroznová šťáva 	18298	18293
